,unique_id,ds,cutoff,NBEATSx,Real_value
16316,ETH,2022-09-20,2022-08-30,0.010280976,0.01243609944285575
16337,ETH,2022-09-21,2022-08-31,0.012010428,0.023137610316411445
16358,ETH,2022-09-22,2022-09-01,0.012813042,0.013786448695871803
16379,ETH,2022-09-23,2022-09-02,0.009480898,0.014585998823547797
16400,ETH,2022-09-24,2022-09-03,0.008938551,0.007694953663306726
16421,ETH,2022-09-25,2022-09-04,0.010078637,0.00826994476565215
16442,ETH,2022-09-26,2022-09-05,0.009978872,0.011102482177659197
16463,ETH,2022-09-27,2022-09-06,0.011389042,0.012025500680119618
16484,ETH,2022-09-28,2022-09-07,0.013521446,0.014507951440882913
16505,ETH,2022-09-29,2022-09-08,0.012756959,0.011219899158116779
16526,ETH,2022-09-30,2022-09-09,0.01327466,0.009770899021849187
16547,ETH,2022-10-01,2022-09-10,0.0110042775,0.0046271489301187374
16568,ETH,2022-10-02,2022-09-11,0.011145222,0.007245662986715841
16589,ETH,2022-10-03,2022-09-12,0.012755807,0.007903741790643737
16610,ETH,2022-10-04,2022-09-13,0.012009769,0.006271187356350944
16631,ETH,2022-10-05,2022-09-14,0.0133337695,0.0072746468618398626
16652,ETH,2022-10-06,2022-09-15,0.013466316,0.007851080371770663
16673,ETH,2022-10-07,2022-09-16,0.015201412,0.006633776839790514
16694,ETH,2022-10-08,2022-09-17,0.016622936,0.004533612045985385
16715,ETH,2022-10-09,2022-09-18,0.013515954,0.0038800392212078876
16736,ETH,2022-10-10,2022-09-19,0.0143868895,0.006516939296208988
16757,ETH,2022-10-11,2022-09-20,0.01656271,0.006951221486153917
16778,ETH,2022-10-12,2022-09-21,0.016017506,0.005133986368639748
16799,ETH,2022-10-13,2022-09-22,0.018230017,0.015959000245874513
16820,ETH,2022-10-14,2022-09-23,0.016707404,0.010008090325108266
16841,ETH,2022-10-15,2022-09-24,0.014296967,0.004901710095235852
16862,ETH,2022-10-16,2022-09-25,0.015334277,0.007148739848184154
16883,ETH,2022-10-17,2022-09-26,0.013893292,0.005586092273473334
16904,ETH,2022-10-18,2022-09-27,0.016076189,0.007383721356028725
16925,ETH,2022-10-19,2022-09-28,0.016466225,0.005726210497508795
16946,ETH,2022-10-20,2022-09-29,0.017509082,0.006117249049175476
16967,ETH,2022-10-21,2022-09-30,0.013862802,0.0068925647060576415
16988,ETH,2022-10-22,2022-10-01,0.015070641,0.0031868361356259876
17009,ETH,2022-10-23,2022-10-02,0.012484207,0.006650092658647721
17030,ETH,2022-10-24,2022-10-03,0.013531365,0.006448787623950081
17051,ETH,2022-10-25,2022-10-04,0.012531458,0.015740361704233506
17072,ETH,2022-10-26,2022-10-05,0.012059117,0.013990023167104895
17093,ETH,2022-10-27,2022-10-06,0.012567067,0.012065452837002298
17114,ETH,2022-10-28,2022-10-07,0.012173472,0.011317884239568787
17135,ETH,2022-10-29,2022-10-08,0.011016833,0.011373193312314914
17156,ETH,2022-10-30,2022-10-09,0.0114400145,0.0077508097470973475
17177,ETH,2022-10-31,2022-10-10,0.0124883875,0.012973262556092956
17198,ETH,2022-11-01,2022-10-11,0.011308086,0.008158061932969755
17219,ETH,2022-11-02,2022-10-12,0.009590114,0.01379444812646488
17240,ETH,2022-11-03,2022-10-13,0.011603815,0.008007276741042114
17261,ETH,2022-11-04,2022-10-14,0.01056178,0.012997027713521753
17282,ETH,2022-11-05,2022-10-15,0.007853407,0.00554612218822646
17303,ETH,2022-11-06,2022-10-16,0.007223731,0.007428726818778937
17324,ETH,2022-11-07,2022-10-17,0.009622328,0.010093877622853355
17345,ETH,2022-11-08,2022-10-18,0.009983905,0.03568048402341268
17366,ETH,2022-11-09,2022-10-19,0.009375937,0.03156651523609154
17387,ETH,2022-11-10,2022-10-20,0.006636359,0.0318732722411507
17408,ETH,2022-11-11,2022-10-21,0.009627086,0.02250284871940302
17429,ETH,2022-11-12,2022-10-22,0.0044348454,0.010172989235260664
17450,ETH,2022-11-13,2022-10-23,0.0075810663,0.010589313755626644
17471,ETH,2022-11-14,2022-10-24,0.008137032,0.01901564860176976
17492,ETH,2022-11-15,2022-10-25,0.010568537,0.011242145422685331
17513,ETH,2022-11-16,2022-10-26,0.010812647,0.009763469785394472
17534,ETH,2022-11-17,2022-10-27,0.009554757,0.009996315422921283
17555,ETH,2022-11-18,2022-10-28,0.00991909,0.0066939914755338005
17576,ETH,2022-11-19,2022-10-29,0.008340144,0.004794288947841521
17597,ETH,2022-11-20,2022-10-30,0.006905971,0.011624133855603146
17618,ETH,2022-11-21,2022-10-31,0.008065149,0.0131914764361715
17639,ETH,2022-11-22,2022-11-01,0.010143036,0.01314675196473122
17660,ETH,2022-11-23,2022-11-02,0.009467682,0.011284272452174442
17681,ETH,2022-11-24,2022-11-03,0.010506423,0.007844081936346807
17702,ETH,2022-11-25,2022-11-04,0.009707298,0.00660605618221046
17723,ETH,2022-11-26,2022-11-05,0.009366633,0.006819419803433492
17744,ETH,2022-11-27,2022-11-06,0.0056140735,0.006166956149655579
17765,ETH,2022-11-28,2022-11-07,0.0080144135,0.0095716000611476
17786,ETH,2022-11-29,2022-11-08,0.011819388,0.007716556407180556
17807,ETH,2022-11-30,2022-11-09,0.015451193,0.013351344673735553
17828,ETH,2022-12-01,2022-11-10,0.017724097,0.006221367536928716
17849,ETH,2022-12-02,2022-11-11,0.014001351,0.006238890499205055
17870,ETH,2022-12-03,2022-11-12,0.0208493,0.006089354362237836
17891,ETH,2022-12-04,2022-11-13,0.018256979,0.005668537341510489
17912,ETH,2022-12-05,2022-11-14,0.011341995,0.006988830324452612
17933,ETH,2022-12-06,2022-11-15,0.019576136,0.00608357634653285
17954,ETH,2022-12-07,2022-11-16,0.0179638,0.007066680893606901
17975,ETH,2022-12-08,2022-11-17,0.01959879,0.00787471083571998
17996,ETH,2022-12-09,2022-11-18,0.022993336,0.006889448205031751
18017,ETH,2022-12-10,2022-11-19,0.021775385,0.003605398532708657
18038,ETH,2022-12-11,2022-11-20,0.022422034,0.0036604978378744486
18059,ETH,2022-12-12,2022-11-21,0.020070553,0.005513163446662178
18080,ETH,2022-12-13,2022-11-22,0.018621745,0.011145256680865497
18101,ETH,2022-12-14,2022-11-23,0.018176686,0.008127043556330914
18122,ETH,2022-12-15,2022-11-24,0.016339371,0.00596463154346033
18143,ETH,2022-12-16,2022-11-25,0.015779234,0.0117455328526873
18164,ETH,2022-12-17,2022-11-26,0.013741966,0.005302544361021843
18185,ETH,2022-12-18,2022-11-27,0.012336347,0.0052544614875580375
18206,ETH,2022-12-19,2022-11-28,0.011135165,0.006668186706927687
18227,ETH,2022-12-20,2022-11-29,0.00959215,0.0076334117779356765
18248,ETH,2022-12-21,2022-11-30,0.011079134,0.004581693502883642
18269,ETH,2022-12-22,2022-12-01,0.009510916,0.008034495032288015
18290,ETH,2022-12-23,2022-12-02,0.010012799,0.004399081696152844
18311,ETH,2022-12-24,2022-12-03,0.007297568,0.002004088201807217
18332,ETH,2022-12-25,2022-12-04,0.008905144,0.005612314054395345
18353,ETH,2022-12-26,2022-12-05,0.011234376,0.003196493219271456
18374,ETH,2022-12-27,2022-12-06,0.008735797,0.003948236745870464
18395,ETH,2022-12-28,2022-12-07,0.0087171085,0.006289432818222983
18416,ETH,2022-12-29,2022-12-08,0.008544597,0.0038475414073895946
18437,ETH,2022-12-30,2022-12-09,0.0036368459,0.003589063882915074
18458,ETH,2022-12-31,2022-12-10,0.006071857,0.0026041769349893526
18479,ETH,2023-01-01,2022-12-11,0.004815968,0.0020591979002773236
18500,ETH,2023-01-02,2022-12-12,0.0049443156,0.004031851003593774
18521,ETH,2023-01-03,2022-12-13,0.006178737,0.0028737166462766022
18542,ETH,2023-01-04,2022-12-14,0.006634902,0.006760570969287136
18563,ETH,2023-01-05,2022-12-15,0.0072947033,0.0028668850788248572
18584,ETH,2023-01-06,2022-12-16,0.008150422,0.005029902309708355
18605,ETH,2023-01-07,2022-12-17,0.0067861676,0.0017774511604744588
18626,ETH,2023-01-08,2022-12-18,0.007814713,0.00529385681589313
18647,ETH,2023-01-09,2022-12-19,0.008530801,0.0065169155861432735
18668,ETH,2023-01-10,2022-12-20,0.0070145084,0.004469776632928535
18689,ETH,2023-01-11,2022-12-21,0.006322677,0.008382246094154888
18710,ETH,2023-01-12,2022-12-22,0.0048416383,0.012467554201832418
