,unique_id,ds,cutoff,NBEATSx,Real_value
4339,BTC,2022-10-27,2022-09-29,0.010599107,0.006870403691025005
4367,BTC,2022-10-28,2022-09-30,0.009885626,0.006717962415226938
4395,BTC,2022-10-29,2022-10-01,0.007623557,0.005731488754528611
4423,BTC,2022-10-30,2022-10-02,0.009016084,0.004496375880906577
4451,BTC,2022-10-31,2022-10-03,0.008954853,0.006549221965076731
4479,BTC,2022-11-01,2022-10-04,0.008913833,0.003986280142376825
4507,BTC,2022-11-02,2022-10-05,0.010147964,0.007162232680874205
4535,BTC,2022-11-03,2022-10-06,0.009878479,0.004673581450569778
4563,BTC,2022-11-04,2022-10-07,0.009122565,0.009142095149907228
4591,BTC,2022-11-05,2022-10-08,0.007887252,0.004722269359932096
4619,BTC,2022-11-06,2022-10-09,0.007316055,0.003998055259215592
4647,BTC,2022-11-07,2022-10-10,0.0086335065,0.006156491849966719
4675,BTC,2022-11-08,2022-10-11,0.007906902,0.027462228054592863
4703,BTC,2022-11-09,2022-10-12,0.0071324906,0.021162127692582952
4731,BTC,2022-11-10,2022-10-13,0.010353976,0.024607965966111787
4759,BTC,2022-11-11,2022-10-14,0.009365485,0.016031475554338922
4787,BTC,2022-11-12,2022-10-15,0.00762347,0.0061449889043205565
4815,BTC,2022-11-13,2022-10-16,0.0077172173,0.007057026209345572
4843,BTC,2022-11-14,2022-10-17,0.008046421,0.01765739049864319
4871,BTC,2022-11-15,2022-10-18,0.007862597,0.009396849565999853
4899,BTC,2022-11-16,2022-10-19,0.00724257,0.0066907698637232015
4927,BTC,2022-11-17,2022-10-20,0.006884658,0.005441717422613718
4955,BTC,2022-11-18,2022-10-21,0.007147756,0.005551283778767733
4983,BTC,2022-11-19,2022-10-22,0.004962711,0.002793877925709999
5011,BTC,2022-11-20,2022-10-23,0.0066162786,0.005658023619109415
5039,BTC,2022-11-21,2022-10-24,0.0061498056,0.010011115234233427
5067,BTC,2022-11-22,2022-10-25,0.007687458,0.008343815503219694
5095,BTC,2022-11-23,2022-10-26,0.0076997536,0.008183341475211707
5123,BTC,2022-11-24,2022-10-27,0.007977993,0.005159959782633796
5151,BTC,2022-11-25,2022-10-28,0.0064652967,0.004181775669649219
5179,BTC,2022-11-26,2022-10-29,0.0066362526,0.003513341126806841
5207,BTC,2022-11-27,2022-10-30,0.006414196,0.003150488709678523
5235,BTC,2022-11-28,2022-10-31,0.0068923533,0.007329325312911697
