,unique_id,ds,cutoff,NHITS,Real_value
4549,ETH,2023-07-10,2023-07-03,0.0071313363,0.005120865499433759
4556,ETH,2023-07-11,2023-07-04,0.006081857,0.00337902676990065
4563,ETH,2023-07-12,2023-07-05,0.006124198,0.004406261597943403
4570,ETH,2023-07-13,2023-07-06,0.0077575194,0.009303108665765097
4577,ETH,2023-07-14,2023-07-07,0.0070052603,0.00856766050056552
4584,ETH,2023-07-15,2023-07-08,0.0054755304,0.002640247576761144
4591,ETH,2023-07-16,2023-07-09,0.0058594905,0.003591405551320219
4598,ETH,2023-07-17,2023-07-10,0.006282557,0.006015910246785205
4605,ETH,2023-07-18,2023-07-11,0.005990561,0.004692921627060286
4612,ETH,2023-07-19,2023-07-12,0.004791718,0.004557919157615024
4619,ETH,2023-07-20,2023-07-13,0.0075587574,0.005085155234315118
4626,ETH,2023-07-21,2023-07-14,0.006204293,0.00304775622493881
4633,ETH,2023-07-22,2023-07-15,0.0042158035,0.0035438709687593273
4640,ETH,2023-07-23,2023-07-16,0.00560461,0.003987916202403682
4647,ETH,2023-07-24,2023-07-17,0.006461651,0.0050474107223586325
4654,ETH,2023-07-25,2023-07-18,0.0050104405,0.003175062235322649
4661,ETH,2023-07-26,2023-07-19,0.00514985,0.0041586347111876405
4668,ETH,2023-07-27,2023-07-20,0.0057056914,0.0029377197520804627
4675,ETH,2023-07-28,2023-07-21,0.0054202387,0.00260328652793293
4682,ETH,2023-07-29,2023-07-22,0.0047285017,0.0016458631287256762
4689,ETH,2023-07-30,2023-07-23,0.005759117,0.0034201556488605584
4696,ETH,2023-07-31,2023-07-24,0.005166167,0.002972722759081494
4703,ETH,2023-08-01,2023-07-25,0.0044210777,0.006044809838158327
4710,ETH,2023-08-02,2023-07-26,0.0045419736,0.0038355724279687314
4717,ETH,2023-08-03,2023-07-27,0.004322199,0.003491117418287525
4724,ETH,2023-08-04,2023-07-28,0.0035437178,0.0035984733586028775
4731,ETH,2023-08-05,2023-07-29,0.003107529,0.0016959655398809616
