,unique_id,ds,cutoff,NHITS,Real_value
314,BTC,2022-06-02,2022-05-12,0.008406978,0.006689329394417886
335,BTC,2022-06-03,2022-05-13,0.0042838566,0.007055947707981007
356,BTC,2022-06-04,2022-05-14,0.009838642,0.004435380047156246
377,BTC,2022-06-05,2022-05-15,0.009785389,0.00466874199125385
398,BTC,2022-06-06,2022-05-16,0.012121347,0.007979463906419005
419,BTC,2022-06-07,2022-05-17,0.00882514,0.01607361445920668
440,BTC,2022-06-08,2022-05-18,0.009725909,0.012206535232648977
461,BTC,2022-06-09,2022-05-19,0.012388453,0.00564082781802718
482,BTC,2022-06-10,2022-05-20,0.013569232,0.008773355794117286
503,BTC,2022-06-11,2022-05-21,0.009166831,0.008421303827136148
524,BTC,2022-06-12,2022-05-22,0.011765697,0.013739202804655517
545,BTC,2022-06-13,2022-05-23,0.010377321,0.023680516849632936
566,BTC,2022-06-14,2022-05-24,0.00857673,0.027043638866488452
587,BTC,2022-06-15,2022-05-25,0.009060402,0.028586690450177463
608,BTC,2022-06-16,2022-05-26,0.011509474,0.014351913831278141
629,BTC,2022-06-17,2022-05-27,0.010249492,0.013609761195769692
650,BTC,2022-06-18,2022-05-28,0.007664597,0.02375417751688861
671,BTC,2022-06-19,2022-05-29,0.008060641,0.024905417363474854
692,BTC,2022-06-20,2022-05-30,0.0127824675,0.018072138782730073
713,BTC,2022-06-21,2022-05-31,0.008833202,0.013655886459304942
734,BTC,2022-06-22,2022-06-01,0.010936713,0.014221995720208106
755,BTC,2022-06-23,2022-06-02,0.0080782585,0.012471615643101102
776,BTC,2022-06-24,2022-06-03,0.009942563,0.010069003579168654
797,BTC,2022-06-25,2022-06-04,0.007265824,0.007727528684068052
818,BTC,2022-06-26,2022-06-05,0.00743,0.008110220063648822
839,BTC,2022-06-27,2022-06-06,0.010478459,0.008416385731782241
860,BTC,2022-06-28,2022-06-07,0.01482594,0.008270978606083718
881,BTC,2022-06-29,2022-06-08,0.008819474,0.008150403141220522
902,BTC,2022-06-30,2022-06-09,0.0057994635,0.017136908485843694
